Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
4725,0,<5,201,<5,25,0,12,0,24,90,68,62,11,33,<5,13,0,268,15,<5,0,0,0,0,0,<5,<5
4726,0,0,39,0,10,0,<5,0,12,45,33,31,0,10,5,<5,0,67,6,0,0,<5,0,0,<5,<5,0
4727,0,0,12,0,<5,0,<5,0,6,20,16,19,<5,<5,<5,<5,0,23,<5,0,0,0,0,0,0,0,<5
4728,0,0,27,0,6,0,<5,0,<5,25,22,16,<5,6,0,5,0,39,<5,0,0,0,0,0,0,0,<5
4730,0,9,310,<5,56,<5,20,0,77,223,164,190,25,96,13,36,0,483,35,0,0,<5,0,<5,0,12,5
4731,0,0,17,0,<5,0,<5,0,7,14,12,11,0,<5,<5,<5,0,34,<5,0,0,<5,0,0,0,<5,0
4732,0,0,16,0,<5,0,<5,0,7,15,10,19,0,8,<5,<5,0,31,<5,<5,0,0,0,0,0,<5,0
4733,0,0,<5,0,0,0,0,0,0,<5,<5,<5,<5,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
4735,<5,7,128,<5,16,0,<5,0,31,76,52,67,<5,38,<5,10,0,183,12,0,0,0,0,0,0,<5,<5
4736,0,0,12,0,<5,0,0,0,<5,5,<5,<5,0,0,0,<5,0,14,0,0,0,0,0,0,0,0,0
4737,<5,19,887,7,229,11,114,0,255,527,437,550,72,379,36,158,0,"1,591",99,6,0,8,0,<5,8,58,11
4738,0,0,109,0,23,<5,13,0,32,47,39,53,10,47,<5,8,0,184,16,0,0,<5,0,0,0,<5,<5
4739,<5,0,44,0,7,0,7,0,15,17,12,17,5,10,<5,<5,0,72,<5,0,0,0,0,0,0,5,<5
4740,33,145,"7,135",68,"1,745",48,747,<5,"2,185","4,889","4,180","5,128",707,"3,421",268,"1,278",12,"12,739",917,30,<5,74,0,15,21,627,199
4741,<5,<5,607,<5,180,<5,82,0,163,295,218,328,53,223,7,54,<5,990,111,<5,0,<5,0,<5,<5,20,9
4742,0,<5,25,0,9,0,7,0,16,59,49,39,<5,19,<5,12,0,65,8,0,0,0,0,0,0,<5,0
4743,0,0,<5,0,<5,0,<5,0,<5,10,9,7,0,<5,0,<5,0,6,0,0,0,0,0,0,0,<5,<5
4744,<5,8,69,<5,63,<5,<5,0,42,279,247,228,17,108,9,99,0,254,10,<5,<5,<5,0,0,0,30,<5
4745,<5,0,52,0,29,<5,6,0,37,118,103,75,7,43,5,37,0,155,7,0,0,0,0,<5,0,7,<5
